case_id,model,temperature,generated_insight,generation_error
000042,Qwen-3-VL-8B,0.01,"In this local SHAP force plot for a Ridge regression model predicting a target value of 182.67, the model's decision is primarily driven by three features: 'age' (with a strong positive contribution, indicated by its large red segment), 'bmi' (also positive, with a substantial red segment), and's2' (with a strong negative contribution, shown by its large red segment extending leftward). The direction of impact is clear: higher 'age' and 'bmi' values increase the predicted outcome, while higher's2' values decrease it. In terms of magnitude, 'age' appears to be the most influential feature, followed by 'bmi', with's2' being the second most influential negative feature. The remaining features ('sex', 'bp','s1','s3','s4','s5','s6') contribute minimally, as their segments are small and mostly neutral or slightly positive, indicating they have a negligible effect on this specific prediction.",
000068,Qwen-3-VL-8B,0.01,"The global SHAP scatter plot for feature's5' reveals that this single feature is a primary driver of the SVR model's predictions in the diabetes progression task, with its impact directionally and quantitatively dominant. The plot shows a clear positive correlation: as the value of's5' increases (from approximately -0.10 to +0.10 on the x-axis), the SHAP value (representing the feature's contribution to the model output) increases substantially, spanning from negative to positive values (y-axis from -7.5 to +10.0). This indicates that higher's5' values are associated with higher predicted outcomes, signifying a positive effect on the model's prediction. The magnitude of this effect is large and consistent across the feature's range, as evidenced by the wide spread of SHAP values and the density of points concentrated in the upper-right quadrant (high's5', high SHAP value), suggesting's5' is a highly influential feature. The color gradient, which encodes the feature's value (blue for low, red for high), further confirms this, with red points (high's5') corresponding to high SHAP values, while blue points (low's5') correspond to low or negative SHAP values. The presence of a few extreme positive SHAP values (above 10.0) for high's5' values suggests that in some cases,'s5' can be a very strong positive driver of the prediction.",
000121,Qwen-3-VL-8B,0.01,"In this SHAP Waterfall plot for a local DecisionTreeClassifier prediction on a malignant breast cancer case, the model's output (E[f(X)] = 0.373) is decomposed into feature contributions, revealing that the most influential features are ""worst radius"" (+0.25), ""area error"" (+0.19), and ""concavity error"" (+0.22), which collectively exert a strong positive influence on the model's decision to classify the instance as malignant. These three features account for the largest contributions, with ""worst radius"" being the single most impactful feature, followed by ""area error"" and ""concavity error"". Other features such as ""mean texture"" (+0.13) and ""worst concave points"" (+0.08) also contribute positively, while ""mean concavity"" (-0.04) and ""worst concavity"" (-0.04) exert a negative influence, indicating that lower values for these features are associated with the malignant class in this specific instance. The remaining 21 features have negligible impact, contributing zero to the final prediction.",
000279,Qwen-3-VL-8B,0.01,"In this global SHAP heatmap for an MLPRegressor predicting fuel efficiency (MPG), displacement and weight emerge as the most dominant drivers of the model’s output, with displacement exhibiting a strong positive impact (red hues) and weight showing a strong negative impact (blue hues), indicating that heavier cars with larger engines tend to have lower MPG. Horsepower also contributes significantly with a positive impact, while acceleration shows a relatively minor but consistent positive contribution. Model-year displays a moderate positive influence, suggesting newer models may be more efficient, and cylinders show a weak negative impact, implying that more cylinders generally correlate with lower efficiency. The magnitude of impact is visually ordered from strongest to weakest: displacement > weight > horsepower > model-year > acceleration > cylinders, with displacement and weight being the most influential features overall.",
000356,Qwen-3-VL-8B,0.01,"Based on the SHAP beeswarm plot for the logistic regression model predicting wine cultivar class_0, the most influential features driving the model’s decision are proline, flavanoids, and alcohol, which exhibit strong positive SHAP values, indicating they increase the likelihood of the target class. Proline shows the highest magnitude of positive impact, followed closely by flavanoids and alcohol, suggesting these chemical properties are key discriminators. Conversely, features such as malic_acid, ash, and magnesium display negative SHAP values, meaning higher values of these features decrease the model’s predicted probability for class_0. The magnitude of impact is visually ordered by the spread and density of points along the x-axis, with proline and flavanoids showing the widest spread and highest concentration of positive values, while features like alcalinity_of_ash and magnesium show more moderate and mixed impacts. The “Sum of 4 other features” category, positioned near the center, indicates a relatively neutral or low-impact contribution to the model’s output.",
000630,Qwen-3-VL-8B,0.01,"Based on the SHAP PermutationExplainer visualization for the SVR forest fire burned area prediction model, the most influential features driving the model’s decision are DC (Dry Casement), DMC (Duff Moisture Code), and FFMC (Fine Fuel Moisture Code), which collectively exhibit the strongest positive impact on the model output, as indicated by their high density of lines extending toward the upper right (high model output values). These three features are followed by RH (Relative Humidity), which shows a strong negative impact (lines extending toward the lower left), and temp (temperature), which also has a significant positive influence. The remaining features—X, Y, month, day, ISI (Initial Spread Index), and wind—contribute to a lesser extent, with their influence appearing more diffuse and less concentrated in the high-impact region, suggesting they play a secondary role in the model’s prediction. The magnitude of importance is visually ordered by the concentration and spread of lines: DC, DMC, and FFMC are most dominant, followed by RH and temp, with the others showing comparatively weaker contributions to the model’s output variance.",
000975,Qwen-3-VL-8B,0.01,"In this local LIME explanation for a malignant (class 0) breast cancer prediction, the model is most strongly influenced by features indicating high severity in tumor morphology, with the most impactful feature being “worst area” (range -0.64 to -0.34), which has a large negative contribution, suggesting that larger tumor areas are a strong indicator of malignancy. Other highly influential features include “worst texture” (range -0.74 to -0.05) and “mean area” (range -0.66 to -0.29), both showing substantial negative contributions, reinforcing that both the worst and mean tumor area and texture are critical discriminators. The features with the next largest negative impact are “worst perimeter” and “radius error,” indicating that tumor perimeter and measurement error are also significant. Notably, several features such as “fractal dimension error,” “perimeter error,” “worst fractal dimension,” “texture error,” and “compactness error” exhibit positive contributions (green bars), suggesting that higher error in these measurements or higher fractal dimension values are associated with the malignant class, likely reflecting irregular tumor boundaries or measurement inconsistencies. The magnitude of impact is visually ordered by bar length, with “worst area” being the most dominant negative driver, followed by “worst texture” and “mean area,” while the positive contributors are comparatively smaller in magnitude.",
001074,Qwen-3-VL-8B,0.01,"The model's prediction of 9.27 is primarily driven by the feature ""DC"" (with a value of -1.75), which exerts a strong negative influence, followed by ""DMC"" (-1.28) and ""FFMC"" (-0.91), all contributing negatively to the prediction. The most impactful positive contributor is ""X"" (value 0.58), followed by ""Y"" (0.56) and ""RH"" (2.98), with ""RH"" showing the largest positive effect among the positive features. The magnitude of influence is visually ordered by bar length: DC (strongest negative), DMC, FFMC, then the positive features RH, Y, X, with ""RH"" being the most significant positive driver. The remaining features—rain, month, temp, ISI, and the interaction term ""temp <= -0.59""—show smaller, less dominant effects, with ""rain"" and ""month"" contributing negatively and ""temp"" and ""ISI"" showing moderate negative impacts.",
001204,Qwen-3-VL-8B,0.01,"The 1D ALE plot for the 'horsepower' feature reveals that higher horsepower values exert a consistently negative effect on fuel efficiency (MPG), as indicated by the downward-sloping blue line, which signifies that as horsepower increases, the predicted MPG decreases. The magnitude of this negative impact is substantial, beginning at approximately 4.0 for low horsepower (around 50) and declining to around -2.0 for very high horsepower (above 200), suggesting that high horsepower engines are strongly associated with lower fuel efficiency. The 95% confidence interval, shown as the shaded gray region, remains relatively narrow and consistently below zero across the entire range, reinforcing the statistical confidence in this negative relationship. The feature's global importance is evident from the large, continuous effect observed across the entire domain, indicating that 'horsepower' is a dominant driver of the model's predictions for fuel efficiency.",
001250,Qwen-3-VL-8B,0.01,"The 2D ALE plot reveals that the model’s predictions for wine cultivar classification are primarily driven by the interaction between 'color_intensity' and 'hue', with 'color_intensity' exhibiting a stronger marginal effect. The color gradient indicates that higher 'color_intensity' values (yellow to green) are associated with a positive effect on the prediction (up to +0.01), while lower 'color_intensity' values (purple to blue) correspond to a negative effect (down to -0.06). Similarly, 'hue' shows a gradient where higher values (right side of x-axis) are linked to a positive effect, and lower values (left side) to a negative effect, though the magnitude of this effect appears less pronounced than for 'color_intensity'. The interaction plot demonstrates that the combined effect of these two features is non-linear and complex, with regions of high positive impact (e.g., high 'color_intensity' and high 'hue') and regions of high negative impact (e.g., low 'color_intensity' and low 'hue'), indicating that the model’s decision boundary is shaped by their joint distribution rather than either feature in isolation.",
000042,Qwen-3-VL-8B,0.2,"In this local SHAP force plot for a Ridge regression model predicting a target value of 182.67, the model's decision is primarily driven by the features 'age', 'bmi', and 'bp', which exhibit the largest positive contributions, pulling the prediction upward. The feature's2' shows the most significant negative impact, acting as a strong counterforce that pulls the prediction downward. The remaining features—'sex','s1','s3','s4','s5','s6'—contribute minimally, with'sex' showing a small positive contribution and the others appearing near zero, indicating they have negligible influence on this specific prediction. The magnitude of impact is ordered as:'s2' (strong negative) > 'age' > 'bmi' > 'bp' >'sex' (small positive), with the other features contributing negligibly to the final value.",
000068,Qwen-3-VL-8B,0.2,"The global SHAP scatter plot for feature's5' reveals that this single feature is a primary driver of the SVR model's predictions for diabetes progression, with its impact directionally split: negative values of's5' (left side of x-axis) are associated with lower predicted outcomes (SHAP values below zero), while positive values of's5' (right side) are associated with higher predicted outcomes (SHAP values above zero). The magnitude of influence is substantial, as evidenced by the wide spread of SHAP values ranging from approximately -7.5 to +10.0, indicating that's5' can significantly shift the model's output. The color gradient, representing the feature's value, confirms this: points with more negative's5' values (blue) correspond to lower SHAP values, while points with more positive's5' values (red) correspond to higher SHAP values, demonstrating a clear, monotonic relationship where higher's5' values consistently push the model's prediction upward.",
000121,Qwen-3-VL-8B,0.2,"In this local SHAP waterfall plot for a breast cancer malignant prediction using a DecisionTreeClassifier, the model's final prediction (E[f(X)] = 0.373) is driven by a small set of features with the most significant contributions, while the remaining 21 features have negligible impact (all +0). The most influential feature is ""worst radius"" with a strong positive contribution of +0.25, followed by ""area error"" at +0.22, and ""worst concave points"" at +0.19. These three features collectively account for the majority of the model's output. Other notable contributors include ""mean texture"" (+0.13) and ""concavity error"" (+0.08), while ""worst concavity"" and ""mean concavity"" show negative contributions of -0.04 and -0.13 respectively, indicating they decrease the likelihood of a malignant prediction. The visual hierarchy clearly shows that features capturing extreme or error-based measurements (e.g., ""worst"" metrics and ""error"" metrics) are the primary drivers of the model's decision, with their contributions ordered by magnitude from largest to smallest.",
000279,Qwen-3-VL-8B,0.2,"In this global SHAP heatmap for an MLPRegressor predicting fuel efficiency (MPG), displacement and weight emerge as the most dominant drivers of the model’s output, with displacement exhibiting a strong positive impact (red hues) and weight showing a strong negative impact (blue hues), indicating that heavier cars with larger engines tend to have lower MPG. Horsepower also contributes significantly with a positive influence, while acceleration shows a moderate positive contribution. Model-year displays a relatively weak but consistent positive impact across instances, suggesting a gradual improvement in efficiency over time. Cylinders, despite being a key automotive feature, shows the weakest overall influence, with its impact varying across instances but generally trending slightly negative. The magnitude of impact is visually ordered from strongest to weakest as: displacement > weight > horsepower > acceleration > model-year > cylinders, with displacement and weight being the most influential features in opposite directions, fundamentally shaping the model’s predictions.",
000356,Qwen-3-VL-8B,0.2,"Based on the SHAP beeswarm plot for the logistic regression model predicting wine cultivar class_0, the most influential features driving the model’s decision are proline, flavanoids, and alcohol, which exhibit strong positive SHAP values, indicating they increase the likelihood of the target class. Proline shows the highest magnitude of positive impact, followed closely by flavanoids and alcohol, suggesting these chemical properties are critical discriminators. Conversely, features like malic_acid, ash, and magnesium display negative SHAP values, meaning higher values for these features decrease the probability of the target class. The remaining features, including alcalinity_of_ash and color_intensity, show moderate positive impacts, while the “Sum of 4 other features” demonstrates a relatively small but positive contribution. Overall, the model relies heavily on a combination of high-protein (proline) and phenolic (flavanoids) compounds, with alcohol acting as a secondary strong positive driver, while certain mineral components (ash, magnesium) act as negative indicators.",
000630,Qwen-3-VL-8B,0.2,"Based on the SHAP PermutationExplainer decision plot for the SVR forest fire burned area prediction model, the most influential features driving the model's output are DC (Dry Casement, positive impact), DMC (Duff Moisture Code, positive impact), and ISI (Initial Spread Index, positive impact), which collectively exhibit the highest magnitude of importance as indicated by their wide spread and high density of lines near the top of the plot. These features are followed by FFMC (Fine Fuel Moisture Code, positive impact) and RH (Relative Humidity, negative impact), which show strong influence but with a more moderate spread. The remaining features—temp, month, X, Y, day, wind, and rain—contribute less significantly to the model's decision, as evidenced by their narrower spread and lower position on the x-axis, indicating their marginal impact on the predicted burned area. The visual clustering of lines for DC, DMC, and ISI near the upper end of the model output scale confirms their dominant role in determining the final prediction value.",
000975,Qwen-3-VL-8B,0.2,"In this local LIME explanation for a malignant (class 0) breast cancer prediction, the model is most strongly influenced by features indicating high severity in tumor morphology, with the most impactful feature being “worst area” (range -0.64 to -0.34), which has a strong negative contribution (red bar, indicating it pushes the model toward class 0) and is the largest contributor in magnitude. Other key drivers include “worst texture” (range -0.74 to -0.05, also strongly negative), “mean area” (range -0.66 to -0.29, negative), and “worst perimeter” (range -0.69 to -0.28, negative), all of which reinforce the malignant classification through their high negative values. Conversely, features such as “fractal dimension error” (range -0.22 to 0.25, positive contribution, green bar) and “compactness error” (range -0.69 to -0.28, positive contribution, green bar) have a positive impact on the prediction, suggesting that deviations in these error metrics are associated with malignancy. The magnitude of influence is ordered by bar length: “worst area” is the most influential, followed by “worst texture” and “mean area”, with the positive contributors being comparatively smaller in magnitude.",
001074,Qwen-3-VL-8B,0.2,"The model's prediction of 9.27 is primarily driven by the feature ""DC"" (with a value of -1.75), which exerts a strong negative influence, followed by ""DMC"" (-1.28) and ""FFMC"" (-0.91), all contributing negatively to the prediction. The most impactful positive contributor is ""X"" (value 0.58), followed by ""Y"" (0.56) and ""RH"" (2.98), with ""RH"" showing the largest positive magnitude. The feature ""temp"" (value -1.31) also contributes negatively, while ""month"" (-1.09) and ""rain"" (-0.07) show smaller negative impacts. The relative importance is visually ordered by bar length, with ""DC"" being the most influential negative feature and ""X"" the most influential positive feature, indicating that the model interprets high DC values as associated with lower burned area predictions, while high X values (likely a transformed or derived feature) are associated with higher predictions.",
001204,Qwen-3-VL-8B,0.2,"The 1D ALE plot for the 'horsepower' feature reveals that higher horsepower values exert a consistently negative effect on the predicted fuel efficiency (MPG), as indicated by the downward-sloping blue line. The effect starts at approximately +4 for low horsepower (around 50) and decreases monotonically to near -2 for very high horsepower (around 225), demonstrating that as horsepower increases, the model predicts a significant reduction in fuel efficiency. The 95% confidence interval, shown as the shaded gray region, remains relatively narrow and centered around the main trend line across the entire range, indicating that the model's sensitivity to this feature is strong and consistent, with no significant fluctuations in the magnitude of its impact. The magnitude of this effect is substantial, as the total change in predicted MPG spans over 6 units, making 'horsepower' a dominant driver of the model's output in this global analysis.",
001250,Qwen-3-VL-8B,0.2,"The 2D ALE plot reveals that the model’s predictions for wine cultivar classification are primarily driven by the interaction between 'color_intensity' and 'hue', with 'color_intensity' exhibiting a stronger marginal effect. The color gradient indicates that higher 'color_intensity' values (yellow to green) are associated with a positive effect on the prediction (up to +0.01), while lower 'color_intensity' values (purple to blue) correspond to a negative effect (down to -0.06). Similarly, 'hue' shows a clear trend: higher 'hue' values (right side of x-axis) are linked to a positive effect, while lower 'hue' values (left side) are associated with a negative effect. The magnitude of the effect is most pronounced for 'color_intensity', as evidenced by the wider spread of color intensity values across the y-axis and the larger range of effect values (from -0.06 to +0.01) compared to 'hue', which shows a more compressed effect range. The interaction between these two features is evident in the banded structure, suggesting that their combined values significantly influence the model’s output, with the most influential combinations occurring in the upper-left quadrant (high color_intensity, low hue) and lower-right quadrant (low color_intensity, high hue).",
000042,Qwen-3-VL-8B,0.4,"In this local SHAP force plot for a Ridge regression model predicting a target value of 182.67, the model’s decision is primarily driven by age, which exhibits a strong positive contribution, followed by bmi and sex, which also contribute positively but to a lesser extent. The feature s2 shows a significant negative impact, pulling the prediction down, while s1, s3, s4, s5, and s6 have minimal or negligible influence on the outcome. The magnitude of impact is ordered as: age > bmi > sex > s2, with age being the dominant driver due to its large positive contribution, followed by bmi and sex which add to the prediction, and s2 which acts as a counteracting negative factor.",
000068,Qwen-3-VL-8B,0.4,"The global SHAP scatter plot for feature's5' reveals that this single feature is a primary driver of the SVR model’s predictions in the diabetes progression task, with its impact directionally consistent across the dataset: higher values of's5' are associated with higher predicted outcomes, while lower values correlate with lower predictions. The magnitude of its importance is substantial, as evidenced by the wide spread of SHAP values ranging from approximately -7.5 to +10.0, indicating that's5' can significantly influence the model’s output. The color gradient, representing the feature’s value (s5), confirms this trend, with points shifting from negative to positive SHAP values as's5' increases, and the density of points concentrated around the central tendency of the feature’s distribution. The presence of both positive and negative SHAP values suggests that's5' can have either a positive or negative effect on the prediction depending on its value, but its overall influence is strong and non-linear, as indicated by the curved, non-uniform distribution of points.",
000121,Qwen-3-VL-8B,0.4,"In this SHAP Waterfall plot for a local DecisionTreeClassifier prediction on a malignant breast cancer case, the model's output (E[f(X)] = 0.373) is decomposed into contributions from input features, with the most influential features being ""worst radius"" (+0.25), ""area error"" (+0.22), and ""worst concave points"" (+0.19), all of which have a positive contribution, indicating they push the model toward the malignant class. These are followed by ""mean texture"" (+0.13) and ""worst concavity"" (+0.08), which also contribute positively. Conversely, ""mean concavity"" (-0.13) and ""mean texture"" (-0.04) exert negative influence, pulling the prediction away from malignancy. The remaining 21 features, including ""worst area"" (0.05) and ""concavity error"" (0.054), contribute minimally or neutrally, with ""worst area"" showing a small positive impact. The total contribution from all features sums to the final expected value, with the largest positive contributions dominating the decision, suggesting that high values in worst radius, area error, and concave points are strong indicators of malignancy in this specific instance.",
000279,Qwen-3-VL-8B,0.4,"In this global SHAP heatmap for an MLPRegressor predicting fuel efficiency (MPG), displacement and weight emerge as the most dominant drivers of the model’s output, with displacement exhibiting a strong positive impact (red shading) and weight showing a strong negative impact (blue shading), indicating that larger engines and heavier vehicles are associated with lower MPG. Model-year also contributes significantly, with a predominantly positive influence (light red), suggesting newer vehicles tend to have better fuel efficiency. Horsepower and acceleration show moderate positive contributions, while cylinders have a relatively weak, mostly neutral impact. The visual magnitude of the SHAP values, as indicated by the color intensity and the scale from -14.83 to 14.83, confirms that displacement and weight are the most influential features, followed by model-year, with horsepower and acceleration playing secondary roles, and cylinders having the least impact on the model’s predictions.",
000356,Qwen-3-VL-8B,0.4,"Based on the SHAP beeswarm plot for the logistic regression model predicting wine cultivar class_0, the most influential features driving the model’s decision are proline, flavanoids, and alcohol, which exhibit strong positive SHAP values, indicating they increase the predicted probability of class_0. Proline shows the highest magnitude of positive impact, followed closely by flavanoids and alcohol, suggesting these chemical properties are key discriminators for this class. Conversely, features such as malic_acid, ash, and alcalinity_of_ash display negative SHAP values, meaning higher values of these features decrease the likelihood of the model predicting class_0. The magnitude of impact is visually ordered along the x-axis, with proline’s spread extending furthest to the right, indicating its dominant influence, while features like ‘Sum of 4 other features’ and ‘od280/od315_of_diluted_wines’ show comparatively smaller, more moderate contributions. The color gradient (blue to red) further confirms that higher feature values (red) correlate with stronger positive SHAP contributions, reinforcing the dominance of proline and flavanoids in the model’s decision-making process.",
