case_id,model,label,logit_score,jina_score,eigen_score,bert_score
000042,Qwen-3-VL-8B,0,0.9948,0.2653,0.9326,0.8306
000042,Pixtral-12B,0,0.992,0.3249,0.8965,0.8373
000042,Idefics3-8B,1,0.9865,0.3061,0.9009,0.8262
000068,Qwen-3-VL-8B,1,0.9907,0.4487,0.9268,0.8206
000068,Pixtral-12B,1,0.994,0.3711,0.8858,0.8148
000068,Idefics3-8B,0,0.9989,0.3868,0.9299,0.8089
000121,Qwen-3-VL-8B,0,0.9915,0.4764,0.9247,0.8136
000121,Pixtral-12B,1,0.9982,0.4269,0.9524,0.8406
000121,Idefics3-8B,0,0.9951,0.3336,0.8987,0.7942
000279,Qwen-3-VL-8B,1,0.9797,0.2751,0.934,0.8161
000279,Pixtral-12B,0,0.9981,0.2757,0.9521,0.8321
000279,Idefics3-8B,0,0.9931,0.2433,0.9226,0.828
000356,Qwen-3-VL-8B,0,0.9955,0.4321,0.9616,0.8331
000356,Pixtral-12B,1,0.9974,0.3953,0.956,0.8427
000356,Idefics3-8B,0,0.9992,0.4285,0.9376,0.8338
000630,Qwen-3-VL-8B,1,0.9985,0.3891,0.9061,0.8066
000630,Pixtral-12B,0,0.9978,0.4001,0.9393,0.8163
000630,Idefics3-8B,0,0.9987,0.3389,0.922,0.8148
000975,Qwen-3-VL-8B,1,0.9926,0.4172,0.9409,0.8103
000975,Pixtral-12B,0,0.9973,0.4248,0.9296,0.8176
000975,Idefics3-8B,0,0.9649,0.3848,0.8847,0.8183
001074,Qwen-3-VL-8B,1,0.9968,0.4523,0.9117,0.781
001074,Pixtral-12B,1,0.9969,0.4178,0.9466,0.8085
001074,Idefics3-8B,0,0.993,0.4401,0.9362,0.7937
001204,Qwen-3-VL-8B,1,0.9979,0.4132,0.9271,0.8185
001204,Pixtral-12B,1,0.9911,0.4705,0.9633,0.8364
001204,Idefics3-8B,1,0.9965,0.3971,0.9207,0.836
001250,Qwen-3-VL-8B,0,0.9972,0.4582,0.9174,0.827
001250,Pixtral-12B,0,0.9943,0.4805,0.953,0.8429
001250,Idefics3-8B,0,0.9956,0.448,0.9445,0.8262
